Experiment,Neurons,Learning Rate,Loss Function,Batch Size,LR Scheduler,MAE,MSE,RMSE,R²
81,64,0.001,mse,32,False,0.05630711763531856,0.004903819716553801,0.07002727837460057,0.5903572698599041
82,64,0.001,mse,32,True,0.07236180259121788,0.007036013254072641,0.08388094690734386,0.4122435478264803
83,64,0.001,mse,64,False,0.08462902459025706,0.009554706547213762,0.09774817925267847,0.20184339924333505
84,64,0.001,mse,64,True,0.0594960388726981,0.00566837285649153,0.07528859712128744,0.5264899880909542
85,64,0.01,mae,16,False,0.031851552963095296,0.0025504652611178765,0.05050213125322412,0.7869457661412507
86,64,0.01,mae,16,True,0.029647693301280975,0.002390566833826712,0.04889342321648907,0.8003029513737232
87,64,0.01,mae,32,False,0.030578673051463234,0.002571921786339003,0.05071411821513811,0.785153385899124
88,64,0.01,mae,32,True,0.034366236870204826,0.002724803641512649,0.05219965173746516,0.7723823330949587
89,64,0.01,mae,64,False,0.032064463513976495,0.0025872655192949313,0.05086517000163207,0.7838716404390719
90,64,0.01,mae,64,True,0.03105324167869277,0.002636659234079597,0.05134841023906774,0.7797455148174777
91,64,0.01,mse,16,False,0.04132358983926331,0.003237786643786447,0.05690155220893756,0.7295300730786425
92,64,0.01,mse,16,True,0.029178628654176305,0.002486428708961991,0.04986410240806497,0.7922950876029153
93,64,0.01,mse,32,False,0.04813672688756852,0.0038117365758485173,0.06173926283855775,0.6815849138510399
94,64,0.01,mse,32,True,0.04229084282871183,0.0032877893222817726,0.05733924766058387,0.7253530774064735
95,64,0.01,mse,64,False,0.05466482053927287,0.004515021314483946,0.06719390831380435,0.6228357148484832
96,64,0.01,mse,64,True,0.05198309034835999,0.004290988121910877,0.06550563427607489,0.6415504258191647
97,64,0.0001,mae,16,False,0.05225739413806737,0.005356654997582394,0.07318917267999683,0.5525294761100408
98,64,0.0001,mae,16,True,0.03945364064801997,0.00443995455966309,0.06663298402190232,0.6291064491260441
99,64,0.0001,mae,32,False,0.17125216550054917,0.03711839054968835,0.19266133641623157,-2.1007010294143327
100,64,0.0001,mae,32,True,0.4214418711902973,0.1953274615161988,0.4419586649407372,-15.316765140595546
101,64,0.0001,mae,64,False,0.06476879372344754,0.007565675744190785,0.08698089298340633,0.3679979594798358
102,64,0.0001,mae,64,True,0.04639094115838125,0.006112499380539832,0.07818247489392896,0.4893896841738614
103,64,0.0001,mse,16,False,0.05871624394645534,0.005289240417520596,0.07272716423400953,0.5581609826139484
104,64,0.0001,mse,16,True,0.05722788239559182,0.005918135846973436,0.07692942120524135,0.5056259271705285
105,64,0.0001,mse,32,False,0.05538095445006196,0.006017524063669355,0.07757270179431264,0.49732348891130074
106,64,0.0001,mse,32,True,0.26971319642089575,0.08435116295231129,0.2904327167388538,-6.046311381642696
107,64,0.0001,mse,64,False,0.30506275719824205,0.10645439416573195,0.32627349595965033,-7.892714492388883
108,64,0.0001,mse,64,True,0.21176082716805503,0.054718280145873634,0.23391938813589958,-3.570915523639716
109,100,0.001,mae,16,False,0.03388430112018817,0.00316370617539376,0.056246832580988594,0.7357184174869813
110,100,0.001,mae,16,True,0.038493422964401024,0.0033277496942230715,0.05768665091876171,0.7220149702154222
111,100,0.001,mae,32,False,0.04691373474794996,0.0042398219519542155,0.06511391519448216,0.6458246142606984
112,100,0.001,mae,32,True,0.038871938647616504,0.004356243954200507,0.06600184811200749,0.6360992512569249
113,100,0.001,mae,64,False,0.04569458756262691,0.004254990389199408,0.06523028736100592,0.6445575122047023
114,100,0.001,mae,64,True,0.04480252260841972,0.004401196096653049,0.06634151111222181,0.6323441543275363
115,100,0.001,mse,16,False,0.05515374353261495,0.004803673593837495,0.06930853911198458,0.5987230201308547
116,100,0.001,mse,16,True,0.04843797495856192,0.004557593406837886,0.06750995042834712,0.6192794364476328
117,100,0.001,mse,32,False,0.05836763442289536,0.005377983388598655,0.07333473521189433,0.5507477996148991
118,100,0.001,mse,32,True,0.05977996537517401,0.005369949006009024,0.07327993590341782,0.5514189552872613
119,100,0.001,mse,64,False,0.05607638177671405,0.0054100373527981175,0.0735529561118934,0.5480701576611877
120,100,0.001,mse,64,True,0.05453957489674008,0.00517090997002484,0.07190903955710186,0.5680457684284084
121,100,0.01,mae,16,False,0.030048549126803388,0.0024472626556164565,0.049469815601197224,0.7955668410417942
122,100,0.01,mae,16,True,0.02975535805713193,0.002365171164509351,0.04863302545091505,0.802424389745077
123,100,0.01,mae,32,False,0.02955199419240642,0.002538304234394396,0.050381586263181476,0.787961642840693
124,100,0.01,mae,32,True,0.03039571764346383,0.0024582501459724524,0.049580743701284395,0.7946489962173559
